Run	Year	SEGroup	Species	pSpp	Area
1	160	12	 BbE	0.028098	402.500000
1	160	13	 BbPg	0.001483	21.250000
1	160	14	 BbS	0.012705	182.000000
1	160	18	 Pe	0.002374	34.000000
1	160	19	 PeBb	0.050158	718.500000
1	160	9	 Bb	0.001485	81.500000
1	160	11	 BbPe	0.057095	3133.500000
1	160	12	 BbE	0.044714	2454.000000
1	160	13	 BbPg	0.004856	266.500000
1	160	14	 BbS	0.021596	1185.250000
1	160	18	 Pe	0.000492	27.000000
1	160	19	 PeBb	0.075198	4127.000000
1	160	9	 Bb	0.000385	7.500000
1	160	11	 BbPe	0.026643	518.750000
1	160	12	 BbE	0.065329	1272.000000
1	160	13	 BbPg	0.001040	20.250000
1	160	14	 BbS	0.042975	836.750000
1	160	18	 Pe	0.000886	17.250000
1	160	19	 PeBb	0.022547	439.000000
1	160	9	 Bb	0.002325	11.250000
1	160	11	 BbPe	0.116583	564.000000
1	160	12	 BbE	0.096377	466.250000
1	160	13	 BbPg	0.014883	72.000000
1	160	14	 BbS	0.049145	237.750000
1	160	18	 Pe	0.002532	12.250000
1	160	19	 PeBb	0.185313	896.500000
1	160	11	 BbPe	0.036558	20.500000
1	160	13	 BbPg	0.154258	86.500000
1	165	9	 Bb	0.081159	31692.000000
1	165	11	 BbPe	0.078190	30532.750000
1	165	12	 BbE	0.016731	6533.500000
1	165	13	 BbPg	0.001437	561.250000
1	165	14	 BbS	0.186842	72960.750000
1	165	18	 Pe	0.004392	1715.000000
1	165	19	 PeBb	0.056262	21970.000000
1	165	9	 Bb	0.055632	263.000000
1	165	11	 BbPe	0.000106	0.500000
1	165	14	 BbS	0.001269	6.000000
1	165	18	 Pe	0.000740	3.500000
1	165	19	 PeBb	0.008990	42.500000
1	165	9	 Bb	0.209645	1183.500000
1	165	11	 BbPe	0.008104	45.750000
1	165	14	 BbS	0.569771	3216.500000
1	165	18	 Pe	0.003189	18.000000
1	165	19	 PeBb	0.013861	78.250000
1	165	9	 Bb	0.205595	13646.500000
1	165	11	 BbPe	0.110236	7317.000000
1	165	12	 BbE	0.002972	197.250000
1	165	13	 BbPg	0.000196	13.000000
1	165	14	 BbS	0.554197	36785.250000
1	165	18	 Pe	0.002987	198.250000
1	165	19	 PeBb	0.038971	2586.750000
1	165	9	 Bb	0.095109	1401.500000
1	165	11	 BbPe	0.071340	1051.250000
1	165	14	 BbS	0.729400	10748.250000
1	165	18	 Pe	0.001289	19.000000
1	165	19	 PeBb	0.033303	490.750000
1	165	9	 Bb	0.127386	717.500000
1	165	11	 BbPe	0.207634	1169.500000
1	165	12	 BbE	0.011940	67.250000
1	165	14	 BbS	0.265513	1495.500000
1	165	18	 Pe	0.005948	33.500000
1	165	19	 PeBb	0.101775	573.250000
1	165	9	 Bb	0.121928	1098.750000
1	165	11	 BbPe	0.240887	2170.750000
1	165	12	 BbE	0.000805	7.250000
1	165	14	 BbS	0.419880	3783.750000
1	165	18	 Pe	0.006020	54.250000
1	165	19	 PeBb	0.101648	916.000000
1	165	9	 Bb	0.175600	12795.750000
1	165	11	 BbPe	0.168814	12301.250000
1	165	12	 BbE	0.005318	387.500000
1	165	13	 BbPg	0.000196	14.250000
1	165	14	 BbS	0.163904	11943.500000
1	165	18	 Pe	0.017586	1281.500000
1	165	19	 PeBb	0.133490	9727.250000
1	165	9	 Bb	0.084242	413.500000
1	165	11	 BbPe	0.133340	654.500000
1	165	12	 BbE	0.002598	12.750000
1	165	14	 BbS	0.448660	2202.250000
1	165	18	 Pe	0.003362	16.500000
1	165	19	 PeBb	0.117755	578.000000
1	165	9	 Bb	0.000024	1.000000
1	165	11	 BbPe	0.001167	48.750000
1	165	12	 BbE	0.000575	24.000000
1	165	19	 PeBb	0.001377	57.500000
1	165	9	 Bb	0.000462	14.500000
1	165	14	 BbS	0.000143	4.500000
1	165	19	 PeBb	0.000406	12.750000
1	165	14	 BbS	0.001706	30.000000
1	165	9	 Bb	0.001638	27.000000
1	165	11	 BbPe	0.050662	835.250000
1	165	12	 BbE	0.075379	1242.750000
1	165	13	 BbPg	0.004094	67.500000
1	165	14	 BbS	0.018409	303.500000
1	165	19	 PeBb	0.044035	726.000000
1	165	9	 Bb	0.002042	29.250000
1	165	11	 BbPe	0.048971	701.500000
1	165	12	 BbE	0.028098	402.500000
1	165	13	 BbPg	0.001483	21.250000
1	165	14	 BbS	0.012705	182.000000
1	165	18	 Pe	0.002374	34.000000
1	165	19	 PeBb	0.050158	718.500000
1	165	9	 Bb	0.001485	81.500000
1	165	11	 BbPe	0.057095	3133.500000
1	165	12	 BbE	0.044714	2454.000000
1	165	13	 BbPg	0.004856	266.500000
1	165	14	 BbS	0.021596	1185.250000
1	165	18	 Pe	0.000492	27.000000
1	165	19	 PeBb	0.075198	4127.000000
1	165	9	 Bb	0.000385	7.500000
1	165	11	 BbPe	0.026643	518.750000
1	165	12	 BbE	0.065329	1272.000000
1	165	13	 BbPg	0.001040	20.250000
1	165	14	 BbS	0.042975	836.750000
1	165	18	 Pe	0.000886	17.250000
1	165	19	 PeBb	0.022547	439.000000
1	165	9	 Bb	0.002325	11.250000
1	165	11	 BbPe	0.116583	564.000000
1	165	12	 BbE	0.096377	466.250000
1	165	13	 BbPg	0.014883	72.000000
1	165	14	 BbS	0.049145	237.750000
1	165	18	 Pe	0.002532	12.250000
1	165	19	 PeBb	0.185313	896.500000
1	165	11	 BbPe	0.036558	20.500000
1	165	13	 BbPg	0.154258	86.500000
1	170	9	 Bb	0.081159	31692.000000
1	170	11	 BbPe	0.078190	30532.750000
1	170	12	 BbE	0.016731	6533.500000
1	170	13	 BbPg	0.001437	561.250000
1	170	14	 BbS	0.186842	72960.750000
1	170	18	 Pe	0.004392	1715.000000
1	170	19	 PeBb	0.056262	21970.000000
1	170	9	 Bb	0.055632	263.000000
1	170	11	 BbPe	0.000106	0.500000
1	170	14	 BbS	0.001269	6.000000
1	170	18	 Pe	0.000740	3.500000
1	170	19	 PeBb	0.008990	42.500000
1	170	9	 Bb	0.209645	1183.500000
1	170	11	 BbPe	0.008104	45.750000
1	170	14	 BbS	0.569771	3216.500000
1	170	18	 Pe	0.003189	18.000000
1	170	19	 PeBb	0.013861	78.250000
1	170	9	 Bb	0.205595	13646.500000
1	170	11	 BbPe	0.110236	7317.000000
1	170	12	 BbE	0.002972	197.250000
1	170	13	 BbPg	0.000196	13.000000
1	170	14	 BbS	0.554197	36785.250000
1	170	18	 Pe	0.002987	198.250000
1	170	19	 PeBb	0.038971	2586.750000
1	170	9	 Bb	0.095109	1401.500000
1	170	11	 BbPe	0.071340	1051.250000
1	170	14	 BbS	0.729400	10748.250000
1	170	18	 Pe	0.001289	19.000000
1	170	19	 PeBb	0.033303	490.750000
1	170	9	 Bb	0.127386	717.500000
1	170	11	 BbPe	0.207634	1169.500000
1	170	12	 BbE	0.011940	67.250000
1	170	14	 BbS	0.265513	1495.500000
1	170	18	 Pe	0.005948	33.500000
1	170	19	 PeBb	0.101775	573.250000
1	170	9	 Bb	0.121928	1098.750000
1	170	11	 BbPe	0.240887	2170.750000
1	170	12	 BbE	0.000805	7.250000
1	170	14	 BbS	0.419880	3783.750000
1	170	18	 Pe	0.006020	54.250000
1	170	19	 PeBb	0.101648	916.000000
1	170	9	 Bb	0.175600	12795.750000
1	170	11	 BbPe	0.168814	12301.250000
1	170	12	 BbE	0.005318	387.500000
1	170	13	 BbPg	0.000196	14.250000
1	170	14	 BbS	0.163904	11943.500000
1	170	18	 Pe	0.017586	1281.500000
1	170	19	 PeBb	0.133490	9727.250000
1	170	9	 Bb	0.084242	413.500000
1	170	11	 BbPe	0.133340	654.500000
1	170	12	 BbE	0.002598	12.750000
1	170	14	 BbS	0.448660	2202.250000
1	170	18	 Pe	0.003362	16.500000
1	170	19	 PeBb	0.117755	578.000000
1	170	9	 Bb	0.000024	1.000000
1	170	11	 BbPe	0.001167	48.750000
1	170	12	 BbE	0.000575	24.000000
1	170	19	 PeBb	0.001377	57.500000
1	170	9	 Bb	0.000462	14.500000
1	170	14	 BbS	0.000143	4.500000
1	170	19	 PeBb	0.000406	12.750000
1	170	14	 BbS	0.001706	30.000000
1	170	9	 Bb	0.001638	27.000000
1	170	11	 BbPe	0.050662	835.250000
1	170	12	 BbE	0.075379	1242.750000
1	170	13	 BbPg	0.004094	67.500000
1	170	14	 BbS	0.018409	303.500000
1	170	19	 PeBb	0.044035	726.000000
1	170	9	 Bb	0.002042	29.250000
1	170	11	 BbPe	0.048971	701.500000
1	170	12	 BbE	0.028098	402.500000
1	170	13	 BbPg	0.001483	21.250000
1	170	14	 BbS	0.012705	182.000000
1	170	18	 Pe	0.002374	34.000000
1	170	19	 PeBb	0.050158	718.500000
1	170	9	 Bb	0.001485	81.500000
1	170	11	 BbPe	0.057095	3133.500000
1	170	12	 BbE	0.044714	2454.000000
1	170	13	 BbPg	0.004856	266.500000
1	170	14	 BbS	0.021596	1185.250000
1	170	18	 Pe	0.000492	27.000000
1	170	19	 PeBb	0.075198	4127.000000
1	170	9	 Bb	0.000385	7.500000
1	170	11	 BbPe	0.026643	518.750000
1	170	12	 BbE	0.065329	1272.000000
1	170	13	 BbPg	0.001040	20.250000
1	170	14	 BbS	0.042975	836.750000
1	170	18	 Pe	0.000886	17.250000
1	170	19	 PeBb	0.022547	439.000000
1	170	9	 Bb	0.002325	11.250000
1	170	11	 BbPe	0.116583	564.000000
1	170	12	 BbE	0.096377	466.250000
1	170	13	 BbPg	0.014883	72.000000
1	170	14	 BbS	0.049145	237.750000
1	170	18	 Pe	0.002532	12.250000
1	170	19	 PeBb	0.185313	896.500000
1	170	11	 BbPe	0.036558	20.500000
1	170	13	 BbPg	0.154258	86.500000
1	175	9	 Bb	0.081159	31692.000000
1	175	11	 BbPe	0.078190	30532.750000
1	175	12	 BbE	0.016731	6533.500000
1	175	13	 BbPg	0.001437	561.250000
1	175	14	 BbS	0.186842	72960.750000
1	175	18	 Pe	0.004392	1715.000000
1	175	19	 PeBb	0.056262	21970.000000
1	175	9	 Bb	0.055632	263.000000
1	175	11	 BbPe	0.000106	0.500000
1	175	14	 BbS	0.001269	6.000000
1	175	18	 Pe	0.000740	3.500000
1	175	19	 PeBb	0.008990	42.500000
1	175	9	 Bb	0.209645	1183.500000
1	175	11	 BbPe	0.008104	45.750000
1	175	14	 BbS	0.569771	3216.500000
1	175	18	 Pe	0.003189	18.000000
1	175	19	 PeBb	0.013861	78.250000
1	175	9	 Bb	0.205595	13646.500000
1	175	11	 BbPe	0.110236	7317.000000
1	175	12	 BbE	0.002972	197.250000
1	175	13	 BbPg	0.000196	13.000000
1	175	14	 BbS	0.554197	36785.250000
1	175	18	 Pe	0.002987	198.250000
1	175	19	 PeBb	0.038971	2586.750000
1	175	9	 Bb	0.095109	1401.500000
1	175	11	 BbPe	0.071340	1051.250000
1	175	14	 BbS	0.729400	10748.250000
1	175	18	 Pe	0.001289	19.000000
1	175	19	 PeBb	0.033303	490.750000
1	175	9	 Bb	0.127386	717.500000
1	175	11	 BbPe	0.207634	1169.500000
1	175	12	 BbE	0.011940	67.250000
1	175	14	 BbS	0.265513	1495.500000
1	175	18	 Pe	0.005948	33.500000
1	175	19	 PeBb	0.101775	573.250000
1	175	9	 Bb	0.121928	1098.750000
1	175	11	 BbPe	0.240887	2170.750000
1	175	12	 BbE	0.000805	7.250000
1	175	14	 BbS	0.419880	3783.750000
1	175	18	 Pe	0.006020	54.250000
1	175	19	 PeBb	0.101648	916.000000
1	175	9	 Bb	0.175600	12795.750000
1	175	11	 BbPe	0.168814	12301.250000
1	175	12	 BbE	0.005318	387.500000
1	175	13	 BbPg	0.000196	14.250000
1	175	14	 BbS	0.163904	11943.500000
1	175	18	 Pe	0.017586	1281.500000
1	175	19	 PeBb	0.133490	9727.250000
1	175	9	 Bb	0.084242	413.500000
1	175	11	 BbPe	0.133340	654.500000
1	175	12	 BbE	0.002598	12.750000
1	175	14	 BbS	0.448660	2202.250000
1	175	18	 Pe	0.003362	16.500000
1	175	19	 PeBb	0.117755	578.000000
1	175	9	 Bb	0.000024	1.000000
1	175	11	 BbPe	0.001167	48.750000
1	175	12	 BbE	0.000575	24.000000
1	175	19	 PeBb	0.001377	57.500000
1	175	9	 Bb	0.000462	14.500000
1	175	14	 BbS	0.000143	4.500000
1	175	19	 PeBb	0.000406	12.750000
1	175	14	 BbS	0.001706	30.000000
1	175	9	 Bb	0.001638	27.000000
1	175	11	 BbPe	0.050662	835.250000
1	175	12	 BbE	0.075379	1242.750000
1	175	13	 BbPg	0.004094	67.500000
1	175	14	 BbS	0.018409	303.500000
1	175	19	 PeBb	0.044035	726.000000
1	175	9	 Bb	0.002042	29.250000
1	175	11	 BbPe	0.048971	701.500000
1	175	12	 BbE	0.028098	402.500000
1	175	13	 BbPg	0.001483	21.250000
1	175	14	 BbS	0.012705	182.000000
1	175	18	 Pe	0.002374	34.000000
1	175	19	 PeBb	0.050158	718.500000
1	175	9	 Bb	0.001485	81.500000
1	175	11	 BbPe	0.057095	3133.500000
1	175	12	 BbE	0.044714	2454.000000
1	175	13	 BbPg	0.004856	266.500000
1	175	14	 BbS	0.021596	1185.250000
1	175	18	 Pe	0.000492	27.000000
1	175	19	 PeBb	0.075198	4127.000000
1	175	9	 Bb	0.000385	7.500000
1	175	11	 BbPe	0.026643	518.750000
1	175	12	 BbE	0.065329	1272.000000
1	175	13	 BbPg	0.001040	20.250000
1	175	14	 BbS	0.042975	836.750000
1	175	18	 Pe	0.000886	17.250000
1	175	19	 PeBb	0.022547	439.000000
1	175	9	 Bb	0.002325	11.250000
1	175	11	 BbPe	0.116583	564.000000
1	175	12	 BbE	0.096377	466.250000
1	175	13	 BbPg	0.014883	72.000000
1	175	14	 BbS	0.049145	237.750000
1	175	18	 Pe	0.002532	12.250000
1	175	19	 PeBb	0.185313	896.500000
1	175	11	 BbPe	0.036558	20.500000
1	175	13	 BbPg	0.154258	86.500000
1	180	9	 Bb	0.081159	31692.000000
1	180	11	 BbPe	0.078190	30532.750000
1	180	12	 BbE	0.016731	6533.500000
1	180	13	 BbPg	0.001437	561.250000
1	180	14	 BbS	0.186842	72960.750000
1	180	18	 Pe	0.004392	1715.000000
1	180	19	 PeBb	0.056262	21970.000000
1	180	9	 Bb	0.055632	263.000000
1	180	11	 BbPe	0.000106	0.500000
1	180	14	 BbS	0.001269	6.000000
1	180	18	 Pe	0.000740	3.500000
1	180	19	 PeBb	0.008990	42.500000
1	180	9	 Bb	0.209645	1183.500000
1	180	11	 BbPe	0.008104	45.750000
1	180	14	 BbS	0.569771	3216.500000
1	180	18	 Pe	0.003189	18.000000
1	180	19	 PeBb	0.013861	78.250000
1	180	9	 Bb	0.205595	13646.500000
1	180	11	 BbPe	0.110236	7317.000000
1	180	12	 BbE	0.002972	197.250000
1	180	13	 BbPg	0.000196	13.000000
1	180	14	 BbS	0.554197	36785.250000
1	180	18	 Pe	0.002987	198.250000
1	180	19	 PeBb	0.038971	2586.750000
1	180	9	 Bb	0.095109	1401.500000
1	180	11	 BbPe	0.071340	1051.250000
1	180	14	 BbS	0.729400	10748.250000
1	180	18	 Pe	0.001289	19.000000
1	180	19	 PeBb	0.033303	490.750000
1	180	9	 Bb	0.127386	717.500000
1	180	11	 BbPe	0.207634	1169.500000
1	180	12	 BbE	0.011940	67.250000
1	180	14	 BbS	0.265513	1495.500000
1	180	18	 Pe	0.005948	33.500000
1	180	19	 PeBb	0.101775	573.250000
1	180	9	 Bb	0.121928	1098.750000
1	180	11	 BbPe	0.240887	2170.750000
1	180	12	 BbE	0.000805	7.250000
1	180	14	 BbS	0.419880	3783.750000
1	180	18	 Pe	0.006020	54.250000
1	180	19	 PeBb	0.101648	916.000000
1	180	9	 Bb	0.175600	12795.750000
1	180	11	 BbPe	0.168814	12301.250000
1	180	12	 BbE	0.005318	387.500000
1	180	13	 BbPg	0.000196	14.250000
1	180	14	 BbS	0.163904	11943.500000
1	180	18	 Pe	0.017586	1281.500000
1	180	19	 PeBb	0.133490	9727.250000
1	180	9	 Bb	0.084242	413.500000
1	180	11	 BbPe	0.133340	654.500000
1	180	12	 BbE	0.002598	12.750000
1	180	14	 BbS	0.448660	2202.250000
1	180	18	 Pe	0.003362	16.500000
1	180	19	 PeBb	0.117755	578.000000
1	180	9	 Bb	0.000024	1.000000
1	180	11	 BbPe	0.001167	48.750000
1	180	12	 BbE	0.000575	24.000000
1	180	19	 PeBb	0.001377	57.500000
1	180	9	 Bb	0.000462	14.500000
1	180	14	 BbS	0.000143	4.500000
1	180	19	 PeBb	0.000406	12.750000
1	180	14	 BbS	0.001706	30.000000
1	180	9	 Bb	0.001638	27.000000
1	180	11	 BbPe	0.050662	835.250000
1	180	12	 BbE	0.075379	1242.750000
1	180	13	 BbPg	0.004094	67.500000
1	180	14	 BbS	0.018409	303.500000
1	180	19	 PeBb	0.044035	726.000000
1	180	9	 Bb	0.002042	29.250000
1	180	11	 BbPe	0.048971	701.500000
1	180	12	 BbE	0.028098	402.500000
1	180	13	 BbPg	0.001483	21.250000
1	180	14	 BbS	0.012705	182.000000
1	180	18	 Pe	0.002374	34.000000
1	180	19	 PeBb	0.050158	718.500000
1	180	9	 Bb	0.001485	81.500000
1	180	11	 BbPe	0.057095	3133.500000
1	180	12	 BbE	0.044714	2454.000000
1	180	13	 BbPg	0.004856	266.500000
1	180	14	 BbS	0.021596	1185.250000
1	180	18	 Pe	0.000492	27.000000
1	180	19	 PeBb	0.075198	4127.000000
1	180	9	 Bb	0.000385	7.500000
1	180	11	 BbPe	0.026643	518.750000
1	180	12	 BbE	0.065329	1272.000000
1	180	13	 BbPg	0.001040	20.250000
1	180	14	 BbS	0.042975	836.750000
1	180	18	 Pe	0.000886	17.250000
1	180	19	 PeBb	0.022547	439.000000
1	180	9	 Bb	0.002325	11.250000
1	180	11	 BbPe	0.116583	564.000000
1	180	12	 BbE	0.096377	466.250000
1	180	13	 BbPg	0.014883	72.000000
1	180	14	 BbS	0.049145	237.750000
1	180	18	 Pe	0.002532	12.250000
1	180	19	 PeBb	0.185313	896.500000
1	180	11	 BbPe	0.036558	20.500000
1	180	13	 BbPg	0.154258	86.500000
